"Species","Metric","Within same species","Between species","Sample vs Control","Within controls"
"Aquiloniella_scabra","Bray–Curtis",0.748714686279833,0.884124234461083,0.932844542551905,0.918531992152535
"Aquiloniella_scabra","Jaccard",0.85101013002432,0.866088713001896,0.901393800707302,0.92029520295203
"Patinella_verrucaria","Bray–Curtis",0.381552364886854,0.910309006949496,0.926509837858081,0.918531992152535
"Patinella_verrucaria","Jaccard",0.688221709006928,0.901632735335618,0.920025100047378,0.92029520295203
"Rhamphostomella_bilaminata","Bray–Curtis",0.619665015410594,0.893578417793234,0.893455246071753,0.918531992152535
"Rhamphostomella_bilaminata","Jaccard",0.763214394284846,0.866787097794292,0.856236106236106,0.92029520295203
