"Species","SampleType","n","Observed_mean","Observed_sd","Observed_se","Shannon_mean","Shannon_sd","Shannon_se","Chao1_mean","Chao1_sd","Chao1_se","PD_mean","PD_sd","PD_se"
"Aquiloniella_scabra","Environmental_control",9,1053.22222222222,215.285727451785,71.7619091505951,5.71021490618765,0.567930329132228,0.189310109710743,1082.66094671982,226.778684336443,75.5928947788145,69.1303645321111,10.752241947551,3.58408064918367
"Aquiloniella_scabra","Sample",9,462.777777777778,155.764869095841,51.921623031947,3.84380765011147,0.837587780701152,0.279195926900384,472.947875566522,160.452458742069,53.4841529140229,39.3665202955556,13.3543340406871,4.45144468022903
"Patinella_verrucaria","Environmental_control",9,266,91.8368117913509,30.612270597117,4.01343998557576,0.494993839554219,0.164997946518073,271.376122334456,93.572019055313,31.1906730184377,24.1125715545556,9.14573545560608,3.04857848520203
"Patinella_verrucaria","Sample",3,309,51.8844870842914,29.9555225848813,3.7081595053195,0.249635523222078,0.14412713653156,317.485444380181,56.9464610052574,32.8780545907819,32.5554932386667,10.4559996801557,6.03677422998456
"Rhamphostomella_bilaminata","Environmental_control",8,737.375,220.14406808789,77.8326816914702,5.40921778818193,0.288708915719715,0.102074016047213,746.650690371456,226.847010309224,80.2025296407735,50.041261786125,9.65094387906031,3.41212393086717
"Rhamphostomella_bilaminata","Sample",9,641.555555555556,158.562378191606,52.8541260638685,4.4807110984569,1.23012663183033,0.410042210610111,658.836511976526,155.106440113151,51.7021467043836,55.7814427778889,13.4647334142254,4.48824447140845
