"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName"
"Aquiloniella_scabra","4c72850cd443f090dd217fc732228e0a","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,-2.445,"1.056e-03",0.09236,"Enriched in Control","Family: Cyclobacteriaceae"
"Aquiloniella_scabra","a63518f4179fc9fe25dad386787f15e9","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",-1.555,"1.045e-03",0.09236,"Enriched in Control","Genus: SM1A02"
"Aquiloniella_scabra","75bb0a0b7853fefe490cb476018ab14a","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae","Candidatus_Entotheonella",-2.695,"1.120e-03",0.09554,"Enriched in Control","Genus: Candidatus_Entotheonella"
"Aquiloniella_scabra","27e997926a556e38007174107ce8d5c1","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,-2.005,"1.360e-03",0.1106,"Enriched in Control","Family: Rubinisphaeraceae"
"Aquiloniella_scabra","db89d941ee5dc2935674d8799463294d","Bacteria","Proteobacteria","Gammaproteobacteria","SS1-B-07-19","SS1-B-07-19","SS1-B-07-19",-2.303,"1.585e-03",0.126,"Enriched in Control","Genus: SS1-B-07-19"
"Aquiloniella_scabra","1b479b5bf21e42e99e4238c1fca02aec","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-1.823,"1.673e-03",0.1272,"Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","e0aa4a8c67cf4588b30e621b6a218c31","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,-1.075,"1.669e-03",0.1272,"Enriched in Control","Family: Magnetospiraceae"
"Aquiloniella_scabra","8f4c101dad164251d4878936cbc25ece","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,-1.713,"1.744e-03",0.1298,"Enriched in Control","Family: Magnetospiraceae"
"Aquiloniella_scabra","565f215f8267ea06b8cb664483dfccfb","Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus_Tenderia",-2.24,"2.005e-03",0.146,"Enriched in Control","Genus: Candidatus_Tenderia"
"Aquiloniella_scabra","0302b6711c3421fd4463c37658685463","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",-1.485,"2.134e-03",0.1472,"Enriched in Control","Genus: Arenicella"
"Aquiloniella_scabra","0e4324eee7005e82de8f34a668a35d53","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",-2.344,"2.148e-03",0.1472,"Enriched in Control","Genus: Candidatus_Nitrosopumilus"
"Aquiloniella_scabra","9630f9ee63cc0be75cd903690c6ea353","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,-2.611,"2.296e-03",0.1472,"Enriched in Control","Family: Magnetospiraceae"
"Aquiloniella_scabra","a5ce2abe540b5a1f42949458e9f06063","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas",-1.423,"2.118e-03",0.1472,"Enriched in Control","Genus: Kordiimonas"
"Aquiloniella_scabra","ae6d65029da85c4ac1884b3cd9e27767","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae","Candidatus_Entotheonella",-2.527,"2.287e-03",0.1472,"Enriched in Control","Genus: Candidatus_Entotheonella"
"Aquiloniella_scabra","be8c43432dd59d95e4ed97d23a751395","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",-1.169,"2.315e-03",0.1472,"Enriched in Control","Genus: Arenicella"
"Aquiloniella_scabra","c596dcbb7695b00a5d89cc56bc325ae3","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter",-1.576,"2.253e-03",0.1472,"Enriched in Control","Genus: Peredibacter"
"Aquiloniella_scabra","14888fa4df557695367fd95574e2a921","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,-2.341,"2.448e-03",0.1502,"Enriched in Control","Family: Rhodobacteraceae"
"Aquiloniella_scabra","10dbbe438378754c4dc5e77443b7fac4","Bacteria","Proteobacteria","Gammaproteobacteria","Ga0077536","Ga0077536","Ga0077536",-1.135,"2.790e-03",0.1632,"Enriched in Control","Genus: Ga0077536"
"Aquiloniella_scabra","2a945663bf660ed3f28afba31164b107","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-1.44,"2.806e-03",0.1632,"Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","b2c7f912f0c9c47667ab4ecdc1bff415","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales",NA,NA,-1.36,"2.848e-03",0.1632,"Enriched in Control","Order: Kordiimonadales"
"Aquiloniella_scabra","033214354a91af0c2372acdbcddf917a","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna",-2.27,"2.950e-03",0.1637,"Enriched in Control","Genus: Ekhidna"
"Aquiloniella_scabra","0348c09cb1ff1cd1e1208e2794eea6c1","Bacteria","Proteobacteria","Gammaproteobacteria","OM182_clade","OM182_clade","OM182_clade",-0.954,"2.932e-03",0.1637,"Enriched in Control","Genus: OM182_clade"
"Aquiloniella_scabra","2e39714a77fa4eccacec0eacd077218d","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,-2.357,"3.001e-03",0.164,"Enriched in Control","Family: Saprospiraceae"
"Aquiloniella_scabra","0a05ee4d171b0d8a22c44965669531a1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Algibacter",-3.157,"3.286e-03",0.165,"Enriched in Control","Genus: Algibacter"
"Aquiloniella_scabra","1992493418215760960c2fa2f7d391b8","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",-1.478,"3.219e-03",0.165,"Enriched in Control","Genus: OM190"
"Aquiloniella_scabra","2a4863a84bf70e4da20cf6cda8cc8ec2","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","SCGC_AAA164-E04",-1.878,"3.172e-03",0.165,"Enriched in Control","Genus: SCGC_AAA164-E04"
"Aquiloniella_scabra","d68e97c77530e15c3774f6830604a0cc","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter",-1.865,"3.213e-03",0.165,"Enriched in Control","Genus: Fabibacter"
"Aquiloniella_scabra","e06db7dc9d71e1bb9d9b9abdab7f3ab9","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,-1.057,"3.303e-03",0.165,"Enriched in Control","Family: Phycisphaeraceae"
"Aquiloniella_scabra","094b90b37ab7cbb5661727bdf30972b8","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",-1.597,"3.372e-03",0.1661,"Enriched in Control","Genus: Candidatus_Nitrosopumilus"
"Aquiloniella_scabra","04db8fa0f286c42335556af597b5c346","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,-2.074,"3.636e-03",0.1712,"Enriched in Control","Family: Gimesiaceae"
"Aquiloniella_scabra","a0039c394cc495783a939e9f7213455d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter",-3.73,"3.673e-03",0.1712,"Enriched in Control","Genus: Aquibacter"
"Aquiloniella_scabra","e6acf6e76691883091b8419f0a670f59","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Reichenbachiella",-2.027,"3.617e-03",0.1712,"Enriched in Control","Genus: Reichenbachiella"
"Aquiloniella_scabra","75db9b4fe7a0f119947425627d6891bd","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",-1.597,"3.890e-03",0.1775,"Enriched in Control","Genus: Arenicella"
"Aquiloniella_scabra","b5de712b93a82e4723968c0839061699","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna",-1.487,"3.918e-03",0.1775,"Enriched in Control","Genus: Ekhidna"
"Aquiloniella_scabra","e31fbd90ae48ef4e5dbc5a70155b3022","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-3.033,"4.009e-03",0.1775,"Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","576cd6100838c548f4cebc7657f7b79a","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",-2.214,"4.707e-03",0.196,"Enriched in Control","Genus: NS9_marine_group"
"Aquiloniella_scabra","a9da372ac0851e6d3f72c0d0ba8a9169","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",-1.649,"4.491e-03",0.196,"Enriched in Control","Genus: OM27_clade"
"Aquiloniella_scabra","b5fb61584fb688918ec8c5431cdd4547","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",-1.475,"4.708e-03",0.196,"Enriched in Control","Genus: OM190"
"Aquiloniella_scabra","0f7a2cba3ea1a42dabd1eb84a27f5927","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,-1.204,"5.090e-03",0.2023,"Enriched in Control","Class: Alphaproteobacteria"
"Aquiloniella_scabra","3022aecd3cf0ed1b4e11f5f364b31690","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola",-1.875,"4.984e-03",0.2023,"Enriched in Control","Genus: Paraglaciecola"
"Aquiloniella_scabra","4bb00ff635bc24788a9b5d0cf25109fd","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Marinagarivorans",-1.399,"4.982e-03",0.2023,"Enriched in Control","Genus: Marinagarivorans"
"Aquiloniella_scabra","7dfcf4cd9861f411497dd9ec9e5b3e21","Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus_Tenderia",-1.854,"5.213e-03",0.2048,"Enriched in Control","Genus: Candidatus_Tenderia"
"Aquiloniella_scabra","7cd35a4b9e944317318b02eb142118e8","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,-1.265,"5.340e-03",0.2075,"Enriched in Control","Family: Halieaceae"
"Aquiloniella_scabra","12479d8565e104f02af902b8c165c23d","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","UBA10353_marine_group","UBA10353_marine_group",-2.372,"5.519e-03",0.2078,"Enriched in Control","Genus: UBA10353_marine_group"
"Aquiloniella_scabra","368d8403c6cc4e29e24c23cfce3bcd0f","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",-2.72,"5.512e-03",0.2078,"Enriched in Control","Genus: Woeseia"
"Aquiloniella_scabra","5a9ca63a1b38151bcc148cc2c0790a3c","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-2.005,"6.101e-03",0.222,"Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","aadf15eecadb292d444c66b51235c196","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,-1.25,"6.202e-03",0.222,"Enriched in Control","Family: Cyclobacteriaceae"
"Aquiloniella_scabra","427b8ead127fc0b334406fbaca3f38d7","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)",-1.292,"6.389e-03",0.2234,"Enriched in Control","Genus: SAR324_clade(Marine_group_B)"
"Aquiloniella_scabra","c94124146fa5319419d291ad648a77fa","Bacteria","Proteobacteria","Gammaproteobacteria","JTB23","JTB23","JTB23",-1.562,"6.382e-03",0.2234,"Enriched in Control","Genus: JTB23"
"Aquiloniella_scabra","8188598a9b197d172cfc57da67efb2ab","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,-1.881,"6.597e-03",0.2284,"Enriched in Control","Family: Rhodobacteraceae"
"Aquiloniella_scabra","4949fe0db03d05998d5074355e66760e","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","B2706-C7",-1.391,"6.813e-03",0.2307,"Enriched in Control","Genus: B2706-C7"
"Aquiloniella_scabra","933db767d1b3ad87196e86e7d73f8bd1","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus",-0.642,"6.861e-03",0.2307,"Enriched in Control","Genus: Halioglobus"
"Aquiloniella_scabra","ee065ca4ce4405228c305a28f9378f58","Bacteria","Proteobacteria","Gammaproteobacteria","eub62A3","eub62A3","eub62A3",-1.138,"6.833e-03",0.2307,"Enriched in Control","Genus: eub62A3"
"Aquiloniella_scabra","acfbc2958b95e403ef08473906cd1b07","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-0.769,"7.412e-03",0.2422,"Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","ba2f196ebaf40e40a61e9436051457fe","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,-1.494,"7.596e-03",0.246,"Enriched in Control","Family: Bacillaceae"
"Patinella_verrucaria","fbcc4b1b852cf931033fb27fbc44e355","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,-5.125,"1.413e-07",7.944e-06,"Enriched in Control","Family: Flavobacteriaceae"
"Patinella_verrucaria","1bc7e599ad2dbd3c9e8128114addb62e","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Algitalea",-4.844,"2.060e-06",5.63e-05,"Enriched in Control","Genus: Algitalea"
"Patinella_verrucaria","c6ee8a2dc2752e9ceca077f36476e467","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae",NA,-5.356,"4.234e-06",0.0001025,"Enriched in Control","Family: Hyphomonadaceae"
"Patinella_verrucaria","d3411bbafb4f9e5e06853a662b2ef9be","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hellea",-7.531,"6.524e-06",0.000138,"Enriched in Control","Genus: Hellea"
"Patinella_verrucaria","9596c2bc8e8edf429b2f5527e5647ea5","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Amphiplicatus",-5.099,"7.533e-06",0.0001544,"Enriched in Control","Genus: Amphiplicatus"
"Patinella_verrucaria","6571c42e7d53e6149821aaea40426d89","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae","Granulosicoccus",-2.241,"1.330e-05",0.0002423,"Enriched in Control","Genus: Granulosicoccus"
"Patinella_verrucaria","c635e68d37dc732efc7938b2d5938516","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,-6.419,"8.649e-05",0.001233,"Enriched in Control","Family: Cellvibrionaceae"
"Patinella_verrucaria","6dd9d05b5d7e6b97dc14447e9014958c","Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j",-3.537,"1.467e-04",0.001924,"Enriched in Control","Genus: NB1-j"
"Patinella_verrucaria","a873093c14011b2af25ae42d32316822","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",-4.903,"1.790e-04",0.002258,"Enriched in Control","Genus: Blastopirellula"
"Patinella_verrucaria","7d332824708bd7dd7c7bc731d027d0b5","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade","KI89A_clade","KI89A_clade",-2.277,"4.922e-04",0.005665,"Enriched in Control","Genus: KI89A_clade"
"Patinella_verrucaria","b98daa18c668f922de33812aade51f0d","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae","Granulosicoccus",-6.819,"5.850e-04",0.006616,"Enriched in Control","Genus: Granulosicoccus"
"Patinella_verrucaria","b412ae178d00f4610eb08e2c5f1070e2","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Litorimonas",-3.057,"1.015e-03",0.0111,"Enriched in Control","Genus: Litorimonas"
"Patinella_verrucaria","5b56a9ab5f7005e998ba28fae84d0e2e","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","DEV007",-3.79,"1.133e-03",0.01219,"Enriched in Control","Genus: DEV007"
"Patinella_verrucaria","cded164d9fa3074d5c0980e0766a8974","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,-4.799,"1.163e-03",0.0123,"Enriched in Control","Family: Rhodobacteraceae"
"Patinella_verrucaria","baa2303756ad35a4a7942e0e068297c9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",-4.28,"1.199e-03",0.01237,"Enriched in Control","Genus: Tenacibaculum"
