"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName"
"Aquiloniella_scabra","9fdf06c3cb2d32b8b07e5644e95d18ca","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",2.462,"2.499e-04","3.362e-02","Enriched in Sample","Genus: Chloroplast"
"Aquiloniella_scabra","60ef3e6936a0df613cd8639cf1d82dd8","Bacteria",NA,NA,NA,NA,NA,2.526,"2.803e-04","3.631e-02","Enriched in Sample","Kingdom: Bacteria"
"Aquiloniella_scabra","34425b47892462604276847bccc5adeb","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group",-1.544,"4.016e-04","4.821e-02","Enriched in Control","Genus: NS11-12_marine_group"
"Aquiloniella_scabra","495c1bd1608a1dad54d3e2824ce899ef","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",-2.402,"4.273e-04","4.821e-02","Enriched in Control","Genus: Candidatus_Nitrosopumilus"
"Aquiloniella_scabra","631e1451e27bd0c65644a3c6d9f7b42c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira",-2.171,"4.114e-04","4.821e-02","Enriched in Control","Genus: Magnetospira"
"Aquiloniella_scabra","c99293daaa3f4b14f0ece7cabc5e88fe","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","Cm1-21",-4.236,"4.228e-04","4.821e-02","Enriched in Control","Genus: Cm1-21"
"Aquiloniella_scabra","b86a8e8151ed7a7539be26190c47ce0c","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter",-2.807,"4.921e-04","5.234e-02","Enriched in Control","Genus: Portibacter"
"Aquiloniella_scabra","ff3c00a7c251667c047120fba528fc25","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus",-1.764,"4.939e-04","5.234e-02","Enriched in Control","Genus: Halioglobus"
"Aquiloniella_scabra","730a41c0b1131e10a7dddb613cf11d51","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Marimicrobium",-1.753,"5.621e-04","5.633e-02","Enriched in Control","Genus: Marimicrobium"
"Aquiloniella_scabra","b28d50f8401c6660191fcf0576c96b5a","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,-2.91,"5.638e-04","5.633e-02","Enriched in Control","Family: Flavobacteriaceae"
