"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName"
"Patinella_verrucaria","9910b78ecfcab8367a1b3ae162fb4cee","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,1.619,"1.965e-06",5.605e-05,"Enriched in Sample","Family: Isosphaeraceae"
"Patinella_verrucaria","51072144763d6f2480df1cad15babda4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter",1.739,"3.773e-06",9.899e-05,"Enriched in Sample","Genus: Octadecabacter"
"Patinella_verrucaria","ac4ac274d280050de041eaa56cbe3c92","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",1.74,"4.258e-06",0.0001025,"Enriched in Sample","Genus: Blastopirellula"
"Patinella_verrucaria","c3ff5c573fb0e919a4b6e39d5db06dd8","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,1.757,"4.377e-06",0.0001025,"Enriched in Sample","Order: SAR11_clade"
"Patinella_verrucaria","f053778ac11218db2855b879731e41f6","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,1.37,"5.634e-06",0.0001232,"Enriched in Sample","Family: Rhodobacteraceae"
"Patinella_verrucaria","3e654b6a2f5c3f012508e5170d99c6e7","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,2.88,"9.607e-06",0.000191,"Enriched in Sample","Order: Rhizobiales"
"Patinella_verrucaria","a30387bf30a75f6ab45d6e8ba3082804","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,5.693,"1.303e-05",0.0002423,"Enriched in Sample","Class: Alphaproteobacteria"
"Patinella_verrucaria","2b72428ebbcbfc529a8aecf2ea37157c","Bacteria","Actinobacteriota","Actinobacteria","PeM15","PeM15","PeM15",1.897,"1.687e-05",0.0002991,"Enriched in Sample","Genus: PeM15"
"Patinella_verrucaria","c400bb9ef12cb34392453dd557713e2b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",4.246,"1.845e-05",0.0003152,"Enriched in Sample","Genus: Blastopirellula"
"Patinella_verrucaria","13bfbe035d4afd772a36eb36a3175948","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_CC9902",1.405,"2.154e-05",0.0003533,"Enriched in Sample","Genus: Synechococcus_CC9902"
"Patinella_verrucaria","d201cbacd1c567ff782a4fefb0caf09b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,1.487,"2.338e-05",0.0003687,"Enriched in Sample","Family: Pirellulaceae"
"Patinella_verrucaria","dd4288754e567d2598eb7d479a0c1051","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesia",1.953,"2.361e-05",0.0003687,"Enriched in Sample","Genus: Gimesia"
"Patinella_verrucaria","0cc9c55d721f5f3d43ec8bc2fe132d0e","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Marimicrobium",3.838,"3.654e-05",0.0005575,"Enriched in Sample","Genus: Marimicrobium"
"Patinella_verrucaria","cff90739aec43855cf9b4c0c5a7fb2b1","Eukaryota",NA,NA,NA,NA,NA,1.7,"3.934e-05",0.0005865,"Enriched in Sample","Kingdom: Eukaryota"
"Patinella_verrucaria","450b0f9dbaf395de258b2b6c62a5f5aa","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,2.328,"5.845e-05",0.0008521,"Enriched in Sample","Class: Alphaproteobacteria"
"Patinella_verrucaria","58c4c519152238addd28ad789a0e3adc","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,3.297,"1.031e-04",0.001409,"Enriched in Sample","Family: Flavobacteriaceae"
"Patinella_verrucaria","61ed6ce1622d7abc236fcb34e383b9df","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,2.141,"1.665e-04",0.002142,"Enriched in Sample","Class: Alphaproteobacteria"
"Patinella_verrucaria","382df3e0baaef58683f1815a6dd0082f","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,1.741,"2.012e-04",0.00249,"Enriched in Sample","Family: Isosphaeraceae"
"Patinella_verrucaria","8cff7bc3fb5f7586f26e4837583cb108","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade",3.484,"2.880e-04",0.003499,"Enriched in Sample","Genus: OM60(NOR5)_clade"
"Patinella_verrucaria","5234d703355574c2c5651a4064ff536f","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,1.695,"4.734e-04",0.005546,"Enriched in Sample","Family: Rhodobacteraceae"
"Patinella_verrucaria","2bbe9ffa11b7f8f8f39949efd572622e","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",4.147,"6.895e-04",0.007666,"Enriched in Sample","Genus: Ilumatobacter"
"Patinella_verrucaria","dc0c1382289972508f62c1eb392febda","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,3.899,"1.207e-03",0.01237,"Enriched in Sample","Class: Alphaproteobacteria"
"Patinella_verrucaria","8bc8a577f444654080e1cbbcbf3624df","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,1.998,"1.339e-03",0.01352,"Enriched in Sample","Family: Cellvibrionaceae"
"Patinella_verrucaria","c0cbc7be02ab7ab71ae694861accc33d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",2.055,"1.361e-03",0.01352,"Enriched in Sample","Genus: Sulfitobacter"
"Patinella_verrucaria","c30cad9fcfd8f81ab1ad5e4fd7791450","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,3.641,"1.850e-03",0.01734,"Enriched in Sample","Family: Cyclobacteriaceae"
"Patinella_verrucaria","c8487b182705eaad35c8578b81969d20","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,3.331,"2.782e-03",0.02401,"Enriched in Sample","Family: Rhodobacteraceae"
"Patinella_verrucaria","46a7475bfbd3a0d1254bcf3bf02c594a","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36",0.737,"3.364e-03",0.02596,"Enriched in Sample","Genus: HOC36"
"Patinella_verrucaria","4d5ea57ba7338b0aca057fb93a24b82b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",0.735,"3.354e-03",0.02596,"Enriched in Sample","Genus: Blastopirellula"
"Patinella_verrucaria","5fa1f70939d54c077ed7e04f0e76c3ee","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,0.691,"3.130e-03",0.02596,"Enriched in Sample","Family: Rhodobacteraceae"
"Patinella_verrucaria","de91d86ca4553fad5b571cab4bc0c643","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409","UBA12409",0.672,"3.096e-03",0.02596,"Enriched in Sample","Genus: UBA12409"
"Patinella_verrucaria","1f582b58a39968c91ff3f3c2d6405e01","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae",NA,0.763,"3.576e-03",0.02643,"Enriched in Sample","Family: Simkaniaceae"
