"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName","Mean_abund_host","Mean_count_host","Abundance_rank"
"Patinella_verrucaria","a30387bf30a75f6ab45d6e8ba3082804","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,5.693,1.303e-05,0.0002423,"Enriched in Sample","Class: Alphaproteobacteria",0.24916755831426,123.666666666667,59
"Patinella_verrucaria","2b72428ebbcbfc529a8aecf2ea37157c","Bacteria","Actinobacteriota","Actinobacteria","PeM15","PeM15","PeM15",1.897,1.687e-05,0.0002991,"Enriched in Sample","Genus: PeM15",0.0169419527912957,9.33333333333333,282
"Patinella_verrucaria","c400bb9ef12cb34392453dd557713e2b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",4.246,1.845e-05,0.0003152,"Enriched in Sample","Genus: Blastopirellula",0.33172678320547,194.666666666667,43
"Patinella_verrucaria","13bfbe035d4afd772a36eb36a3175948","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_CC9902",1.405,2.154e-05,0.0003533,"Enriched in Sample","Genus: Synechococcus_CC9902",0.0836184213301462,51.3333333333333,105
"Patinella_verrucaria","d201cbacd1c567ff782a4fefb0caf09b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,1.487,2.338e-05,0.0003687,"Enriched in Sample","Family: Pirellulaceae",0.0282452934175665,16.6666666666667,211
"Patinella_verrucaria","dd4288754e567d2598eb7d479a0c1051","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesia",1.953,2.361e-05,0.0003687,"Enriched in Sample","Genus: Gimesia",0.163801743617453,98.3333333333333,73
"Patinella_verrucaria","0cc9c55d721f5f3d43ec8bc2fe132d0e","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Marimicrobium",3.838,3.654e-05,0.0005575,"Enriched in Sample","Genus: Marimicrobium",0.418042680107705,250,36
"Patinella_verrucaria","cff90739aec43855cf9b4c0c5a7fb2b1","Eukaryota",NA,NA,NA,NA,NA,1.7,3.934e-05,0.0005865,"Enriched in Sample","Kingdom: Eukaryota",0.0118899935056649,7.33333333333333,307
"Patinella_verrucaria","450b0f9dbaf395de258b2b6c62a5f5aa","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,2.328,5.845e-05,0.0008521,"Enriched in Sample","Class: Alphaproteobacteria",0.247267440095486,129.333333333333,57
"Patinella_verrucaria","58c4c519152238addd28ad789a0e3adc","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,3.297,0.0001031,0.001409,"Enriched in Sample","Family: Flavobacteriaceae",0.986396275172996,643.666666666667,14
"Patinella_verrucaria","61ed6ce1622d7abc236fcb34e383b9df","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,2.141,0.0001665,0.002142,"Enriched in Sample","Class: Alphaproteobacteria",0.0655522029041478,39.6666666666667,127
"Patinella_verrucaria","382df3e0baaef58683f1815a6dd0082f","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,1.741,0.0002012,0.00249,"Enriched in Sample","Family: Isosphaeraceae",0.0369575323441133,23.6666666666667,173
"Patinella_verrucaria","8cff7bc3fb5f7586f26e4837583cb108","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade",3.484,0.000288,0.003499,"Enriched in Sample","Genus: OM60(NOR5)_clade",0.54320409924263,321.333333333333,29
"Patinella_verrucaria","5234d703355574c2c5651a4064ff536f","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,1.695,0.0004734,0.005546,"Enriched in Sample","Family: Rhodobacteraceae",0.180710822104822,116.333333333333,65
"Patinella_verrucaria","2bbe9ffa11b7f8f8f39949efd572622e","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",4.147,0.0006895,0.007666,"Enriched in Sample","Genus: Ilumatobacter",0.142447445128891,70,86
"Patinella_verrucaria","dc0c1382289972508f62c1eb392febda","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,3.899,0.001207,0.01237,"Enriched in Sample","Class: Alphaproteobacteria",1.6837855608431,998,10
"Patinella_verrucaria","8bc8a577f444654080e1cbbcbf3624df","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,1.998,0.001339,0.01352,"Enriched in Sample","Family: Cellvibrionaceae",0.107792907188296,52.3333333333333,103
"Patinella_verrucaria","c0cbc7be02ab7ab71ae694861accc33d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",2.055,0.001361,0.01352,"Enriched in Sample","Genus: Sulfitobacter",0.234703288497716,120,62
"Patinella_verrucaria","c30cad9fcfd8f81ab1ad5e4fd7791450","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,3.641,0.00185,0.01734,"Enriched in Sample","Family: Cyclobacteriaceae",0.111260642394604,60.6666666666667,95
"Patinella_verrucaria","c8487b182705eaad35c8578b81969d20","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,3.331,0.002782,0.02401,"Enriched in Sample","Family: Rhodobacteraceae",0.214074092582525,132.333333333333,56
"Patinella_verrucaria","46a7475bfbd3a0d1254bcf3bf02c594a","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36",0.737,0.003364,0.02596,"Enriched in Sample","Genus: HOC36",0.0106261928497694,7,318
"Patinella_verrucaria","4d5ea57ba7338b0aca057fb93a24b82b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",0.735,0.003354,0.02596,"Enriched in Sample","Genus: Blastopirellula",0.0348311857216965,22.6666666666667,177
"Patinella_verrucaria","5fa1f70939d54c077ed7e04f0e76c3ee","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,0.691,0.00313,0.02596,"Enriched in Sample","Family: Rhodobacteraceae",0.0496266899724335,25.6666666666667,160
"Patinella_verrucaria","de91d86ca4553fad5b571cab4bc0c643","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409","UBA12409",0.672,0.003096,0.02596,"Enriched in Sample","Genus: UBA12409",0.00661540419987676,4.33333333333333,393
"Patinella_verrucaria","1f582b58a39968c91ff3f3c2d6405e01","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae",NA,0.763,0.003576,0.02643,"Enriched in Sample","Family: Simkaniaceae",0.00840723985880335,4.66666666666667,380
"Patinella_verrucaria","a46c68ade453c5b8cdc418a30ff62c46","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",0.757,0.00353,0.02643,"Enriched in Sample","Genus: Sphingorhabdus",0.0323839942476249,18,206
"Patinella_verrucaria","8fc2ef4e56ee8777d7789d081106895a","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group",0.792,0.003874,0.02791,"Enriched in Sample","Genus: NS4_marine_group",0.00875129538322464,5.66666666666667,351
"Patinella_verrucaria","acbdfc14c6d9f647954eeab899f2b241","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",0.795,0.003914,0.02791,"Enriched in Sample","Genus: Reyranella",0.0164781441275758,10.6666666666667,265
"Patinella_verrucaria","6443898054518f4a3520abd88ae8a640","Bacteria","Actinobacteriota","Actinobacteria",NA,NA,NA,0.804,0.004019,0.02835,"Enriched in Sample","Class: Actinobacteria",0.0107508616919843,6.33333333333333,333
"Patinella_verrucaria","1cb3558d8e931cbfe4138dc6111e0892","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Fuerstia",0.823,0.004251,0.02905,"Enriched in Sample","Genus: Fuerstia",0.0113559109332087,7.33333333333333,307
"Patinella_verrucaria","117e2ebeb25f17a7989fa76a7863d66d","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",0.848,0.004599,0.03079,"Enriched in Sample","Genus: Arenicella",0.0398326861718315,25.6666666666667,160
"Patinella_verrucaria","6444657c0f5e7317624f71dc68a429f0","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","DEV007",0.88,0.005089,0.03249,"Enriched in Sample","Genus: DEV007",0.0199882981987419,10.6666666666667,265
"Patinella_verrucaria","54b2938845517c66a88daab1b15b06a8","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,4.949,0.005361,0.03382,"Enriched in Sample","Family: Devosiaceae",0.494485672639425,227,39
"Patinella_verrucaria","af0734d13d54fc12a56ffe1cea938f3b","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","PS1_clade","PS1_clade",1.239,0.005525,0.03452,"Enriched in Sample","Genus: PS1_clade",0.0784756471111604,44,120
"Patinella_verrucaria","bbaa49db59da4b9d9c05ca4a337866f3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,5.332,0.006142,0.03697,"Enriched in Sample","Family: Rhodobacteraceae",4.71402263445445,3191.33333333333,5
"Patinella_verrucaria","80380f29e51d9ff29653a529d29d3fc4","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus_Megaira",0.95,0.006317,0.03767,"Enriched in Sample","Genus: Candidatus_Megaira",0.0371877477153346,19.6666666666667,193
"Patinella_verrucaria","3f07c5798efd8deb6095045db89ee137","Bacteria","Desulfobacterota",NA,NA,NA,NA,0.958,0.006465,0.03821,"Enriched in Sample","Phylum: Desulfobacterota",0.0139072634162228,9.33333333333333,282
"Patinella_verrucaria","68262884f1021c896f8e1bf7348d773c","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",0.977,0.006855,0.03902,"Enriched in Sample","Genus: Flavobacterium",0.00793457939418433,5.33333333333333,358
"Patinella_verrucaria","6efcd9846560ff414ec2d5d259c0ec88","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_CC9902",0.98,0.006901,0.03902,"Enriched in Sample","Genus: Synechococcus_CC9902",0.0604902931424554,40.6666666666667,125
"Patinella_verrucaria","b78e9c4260d66a65c87ac5435c0f8d25","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudahrensia",1.006,0.007432,0.04132,"Enriched in Sample","Genus: Pseudahrensia",0.0346376616821555,23.3333333333333,174
"Patinella_verrucaria","1263b941de1a0c2fb61d10f6b7e273da","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,1.619,0.007937,0.04345,"Enriched in Sample","Family: Flavobacteriaceae",0.0202418588260561,11.3333333333333,257
"Patinella_verrucaria","6c04fda77ffab719b8fc0280eee58e6b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,1.041,0.008184,0.04401,"Enriched in Sample","Family: Pirellulaceae",0.0136657979277587,8.66666666666667,292
"Patinella_verrucaria","8cf2d6c9fedeb3cb3dbd20d6d82eabc3","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group",1.059,0.008576,0.04537,"Enriched in Sample","Genus: Sva0996_marine_group",0.0278430591232589,14.3333333333333,231
"Patinella_verrucaria","7de5958338db62682325c264856a10fd","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",1.082,0.009092,0.04734,"Enriched in Sample","Genus: OM190",0.0464951712859269,22.3333333333333,180
"Rhamphostomella_bilaminata","c50b0835bf381d4453071f135ed88b39","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera",4.146,6.735e-10,3.269e-07,"Enriched in Sample","Genus: Methylotenera",0.608989721252725,280.333333333333,22
"Rhamphostomella_bilaminata","e6801e54dd3a2654fc19dab0af47c35c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,4.485,1.587e-09,6.418e-07,"Enriched in Sample","Family: Rhizobiaceae",2.56331142486093,1238.88888888889,5
"Rhamphostomella_bilaminata","9c872286b28ea46be348ce877c3c656d","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",4.485,4.607e-09,1.398e-06,"Enriched in Sample","Genus: Sphingorhabdus",1.24412614446826,598.444444444444,9
"Rhamphostomella_bilaminata","10821628e3e458fde4ded1a39c3926af","Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera",3.568,8.995e-06,0.0009783,"Enriched in Sample","Genus: Lentisphaera",0.103167238905149,48.1111111111111,134
"Rhamphostomella_bilaminata","44cc17826fd7cbbd611d6ba70982a3e9","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Candidatus_Endobugula",3.645,2.169e-05,0.002081,"Enriched in Sample","Genus: Candidatus_Endobugula",0.497509656264937,279.444444444444,23
"Rhamphostomella_bilaminata","36fa32bf1591f6e26e457bdd4c882661","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Sneathiella",3.913,4.347e-05,0.003297,"Enriched in Sample","Genus: Sneathiella",0.373614739338294,214.111111111111,32
"Rhamphostomella_bilaminata","450b0f9dbaf395de258b2b6c62a5f5aa","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,2.413,0.0001083,0.007509,"Enriched in Sample","Class: Alphaproteobacteria",0.0298552871135426,13.6666666666667,397
"Rhamphostomella_bilaminata","811b45d386b7b6dd81665a0bac6761d6","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,4.845,0.0001235,0.008049,"Enriched in Sample","Class: Gammaproteobacteria",5.83966796639844,2624.66666666667,2
"Rhamphostomella_bilaminata","c39fd6fc4661167fed13f8f1f43e9966","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group",2.491,0.0002813,0.01552,"Enriched in Sample","Genus: Sva0996_marine_group",0.401865960078972,198.666666666667,34
"Rhamphostomella_bilaminata","2d1a60b2982025a0959cff244436778b","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group",2.374,0.0002995,0.01615,"Enriched in Sample","Genus: Sva0996_marine_group",0.171315500113495,75.8888888888889,91
"Rhamphostomella_bilaminata","54bc24af2573a5765ab4ee324d1d63be","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,2.556,0.0004746,0.02451,"Enriched in Sample","Family: Rhodobacteraceae",0.145384094337747,69.2222222222222,99
"Rhamphostomella_bilaminata","2a75921d722ef2e9c11a55f7655f5fb1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Kangiellaceae",NA,2.215,0.0007823,0.03797,"Enriched in Sample","Family: Kangiellaceae",2.42945151529884,1279.77777777778,4
