"Species","ASV","BestName","log2FC","FDR_q_value","Mean_abund_host","Mean_abund_control"
"Patinella_verrucaria","e754a39a858b1a95a88af59002c86f11","Family: Hyphomonadaceae",-2.253,0.01496,0.0447987794183701,0.254794403154012
"Patinella_verrucaria","6571c42e7d53e6149821aaea40426d89","Genus: Granulosicoccus",-2.241,0.0002423,0.0370292249642598,0.354532809887995
"Rhamphostomella_bilaminata","06dbffb3667d421322f3cdc067c1bb95","Genus: Colwellia",-6.48,8.428e-08,0.0469643769040354,4.27578573473019
"Rhamphostomella_bilaminata","ed962067f3d3472675d24f92d6dda3b0","Genus: Colwellia",-6.213,6.965e-10,0.00839588265914396,3.28817998593173
"Rhamphostomella_bilaminata","0f46c35d6629feaffa5e8f4b256e255b","Genus: NS3a_marine_group",-4.85,8.428e-08,0.000985224101537196,0.157118119034854
"Rhamphostomella_bilaminata","e3bd4c321c5364d01871ebb503a1dc7e","Genus: Colwellia",-4.516,3.997e-06,0.516633043058187,10.0347748023913
"Rhamphostomella_bilaminata","1d52609177ce303a019c3ee3f9142239","Genus: Colwellia",-4.378,8.428e-08,0.00516862643752423,0.590797974038067
"Rhamphostomella_bilaminata","01b65b807c4e7fdf80dc247b058c652b","Family: Colwelliaceae",-4.229,1.246e-06,0.0381795138854583,0.725218202087144
"Rhamphostomella_bilaminata","cf2752910266aa9986d441f815389f2c","Genus: Psychromonas",-3.862,0.002081,0.0338706122434764,0.539414921718081
"Rhamphostomella_bilaminata","dc186c356120425c8b044a49772944c6","Genus: MBAE14",-3.723,0.0001745,0.00458082866230617,0.097236383396176
"Rhamphostomella_bilaminata","f7460ef647b461ee5ad49fbeb5705652","Genus: Colwellia",-3.7,0.002264,0.0826824453114357,0.638972655856057
"Rhamphostomella_bilaminata","7d372fe772be67fbd518123f6300b372","Family: Methylophagaceae",-3.492,0.0005898,0.0306101266367446,0.290942382332072
"Rhamphostomella_bilaminata","93e881f05978d18bc8c18f476ac8dd3a","Genus: Thalassotalea",-3.407,0.02581,0.0735951013213599,0.493155067122089
"Rhamphostomella_bilaminata","b5cd41c77bc4eb8356b15ed52bb1cf5d","Genus: Colwellia",-3.26,0.001116,0.0790116351540361,0.650647120792742
"Rhamphostomella_bilaminata","dee7e9e6328e4af5e481f88a1f796b2a","Genus: Endobacter",-3.143,0.0004403,0,0.0879169333680564
"Rhamphostomella_bilaminata","f716fb59c9bee1b0c02ad64865f0de70","Genus: HTCC5015",-3.097,0.002557,0.00170054393112311,0.0982504376772614
"Rhamphostomella_bilaminata","4c5d68fe9f0b36f32638abc717a65ad3","Genus: JTB23",-3.043,0.04851,0.00325496818181637,0.090047284646842
"Rhamphostomella_bilaminata","4bdc1afca33aabf7e6ffccfb3989baba","Genus: Salinirepens",-3.023,0.004437,0.00191109582234453,0.119857842696262
"Rhamphostomella_bilaminata","2b6e42bf9200244b950fdda2491dd4ca","Genus: Colwellia",-2.924,6.769e-05,0,0.303546360627278
"Rhamphostomella_bilaminata","f690e76a3de3a7b1cd99d01daef0d027","Genus: Reichenbachiella",-2.906,9.244e-05,0.0025894538606403,0.110666294001788
"Rhamphostomella_bilaminata","6052c6018dc1a0fb3bccec096b0d74b8","Genus: Thalassotalea",-2.835,0.04308,0.000876662371021049,0.0551181342166152
"Rhamphostomella_bilaminata","041792056bd7be0d5d925d8a6546e833","Genus: Candidatus_Nitrosopumilus",-2.671,0.04308,0.239124235994983,1.46529968624829
"Rhamphostomella_bilaminata","0ba0d4c5a289facc80e0e481377a9e18","Genus: Mesorhizobium",-2.629,0.0001871,0,0.219657215755664
"Rhamphostomella_bilaminata","d3a60d931aed828666a7818a3da0ee38","Genus: Pseudofulvibacter",-2.516,0.005333,0.0066361516510068,0.0714218802681541
"Rhamphostomella_bilaminata","11b7c459db9e25981b9e929a8098b1d9","Family: Flavobacteriaceae",-2.483,0.0001002,0.00519753697894692,0.158697657388126
"Rhamphostomella_bilaminata","3c0deb5ca627c2080a4a80c7d89c6096","Genus: Vicingus",-2.417,0.0001871,0,0.223271901407072
"Rhamphostomella_bilaminata","b5de712b93a82e4723968c0839061699","Genus: Ekhidna",-2.354,0.04719,0.023419523396602,0.149811986403567
"Rhamphostomella_bilaminata","c8487b182705eaad35c8578b81969d20","Family: Rhodobacteraceae",-2.157,0.02086,0.158837655364637,0.614459044414267
"Rhamphostomella_bilaminata","a630681ba72a80c92a426efb3e574ab2","Family: Flavobacteriaceae",-2.019,0.02835,0.0791232625184034,0.383461623818281
"Rhamphostomella_bilaminata","9695ab42557ea68383a7fa889b522976","Family: Cellvibrionaceae",-1.936,0.01306,0,0.0498862388057391
"Rhamphostomella_bilaminata","2c674dd5dcc493fc0bad82c12f46397e","Genus: Clade_Ia",-1.837,0.0001745,0,0.113528852273866
"Rhamphostomella_bilaminata","d9f3cd010e62ed14267428e00eb063af","Genus: Colwellia",-1.802,0.002777,0,0.0934465260044245
"Rhamphostomella_bilaminata","29d249d9deca741ac3ed4eea1e7819ff","Genus: SAR86_clade",-1.478,0.008049,0,0.0513009400440381
"Rhamphostomella_bilaminata","90d45b2e65bd23f17189e9455878f884","Genus: Reinekea",-1.315,0.04719,0,0.080771813849131
