"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName","Mean_abund_host","Mean_count_host","Abundance_rank"
"Aquiloniella_scabra","badeae06f9f02ed7567ab02f37fc1612","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella",-4.03,1.181e-09,4.129e-06,"Enriched in Control","Genus: Pseudohongiella",0.0123058213056624,6.33333333333333,546
"Aquiloniella_scabra","a7c0e5b81d8f91d217059d6d45bb4a9c","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",-3.572,3.234e-08,4.667e-05,"Enriched in Control","Genus: Woeseia",0.0317915425186865,17.6666666666667,248
"Aquiloniella_scabra","d23c235f41d3398df2e2f5edbac63604","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fulvivirga",-3.17,2.416e-06,0.001408,"Enriched in Control","Genus: Fulvivirga",0.0111811510601872,6.77777777777778,525
"Aquiloniella_scabra","26b941552eaad9d941eff16910335833","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,-1.741,3.276e-06,0.001636,"Enriched in Control","Family: Rhodobacteraceae",0.00564342364992771,2.33333333333333,1148
"Aquiloniella_scabra","5d0f35ba3e7d0ebce9788d34229f1ade","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira",-3.215,3.858e-06,0.001686,"Enriched in Control","Genus: Magnetospira",0,0,2165
"Aquiloniella_scabra","9879a750c4dcbe94271efc3a64a8dcc6","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales",NA,NA,-2.108,4.998e-06,0.001942,"Enriched in Control","Order: Puniceispirillales",0.00535968599390696,3.77777777777778,831
"Aquiloniella_scabra","b6b5e5683e22e7ccbc945f50aa1bfb52","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,-3.838,1.526e-05,0.005334,"Enriched in Control","Family: Saprospiraceae",0.0158157477702563,7.22222222222222,502
"Aquiloniella_scabra","992d4d84004e921e2356b0a17d4a66a8","Bacteria","Planctomycetota","Pla3_lineage","Pla3_lineage","Pla3_lineage","Pla3_lineage",-1.528,2.319e-05,0.006756,"Enriched in Control","Genus: Pla3_lineage",0,0,2165
"Aquiloniella_scabra","a2856ec474695516bcc911974ec23ec6","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","DEV007",-1.675,3.526e-05,0.008218,"Enriched in Control","Genus: DEV007",0,0,2165
"Aquiloniella_scabra","ad7cea3f47c9e64cbe5f5544c27fb1c5","Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8","BD7-8","BD7-8",-2.941,6.509e-05,0.01422,"Enriched in Control","Genus: BD7-8",0.0853159268444725,47.7777777777778,117
